Gene	ECKnum
intR	ECK1342
intS	ECK2343
iraP	ECK0377
iscA	ECK2525
iscR	ECK2528
iscS	ECK2527
iscU	ECK2526
iscX	ECK2521
ispA	ECK0415
ispB	ECK3176
ispD	ECK2742
ispE	ECK1196
ispF	ECK2741
ispG	ECK2511
ispH	ECK0030
ispU	ECK0173
ivbL	ECK3663
ivy	ECK0221
katE	ECK1730
katG	ECK3934
kbaY	ECK3125
kbaZ	ECK3120
kbl	ECK3607
kch	ECK1244
kdgK	ECK3511
kdgT	ECK3902
kdpA	ECK0686
kdpB	ECK0685
kdpC	ECK0684
kdpD	ECK0683
kdpE	ECK0682
kdpF	ECK0687
kdsA	ECK1203
kdsB	ECK0909
kdsC	ECK3187
kdsD	ECK3186
kduD	ECK2840
kduI	ECK2841
kefA	ECK0459
kefB	ECK3338
kefC	ECK0048
kefF	ECK0047
kefG	ECK3339
kgtP	ECK2585
kil	ECK1350
kptA	ECK4322
ksgA	ECK0052
lacA	ECK0339
lacI	ECK0342
lacY	ECK0340
lacZ	ECK0341
lamB	ECK4028
lar	ECK1345
ldcA	ECK1180
ldcC	ECK0185
ldhA	ECK1377
ldrB	ECK1204
ldrD	ECK3524
lepA	ECK2567
lepB	ECK2566
leuA	ECK0076
leuB	ECK0075
leuC	ECK0074
leuD	ECK0073
leuE	ECK1796
leuL	ECK0077
leuO	ECK0078
leuS	ECK0635
lexA	ECK4035
lgt	ECK2824
lhr	ECK1649
ligA	ECK2406
ligB	ECK3637
ligT	ECK0146
lipA	ECK0621
lipB	ECK0623
lit	ECK1125
livF	ECK3438
livG	ECK3439
livH	ECK3441
livJ	ECK3444
livK	ECK3442
livM	ECK3440
lldD	ECK3595
lldP	ECK3593
lldR	ECK3594
lnt	ECK0649
lolA	ECK0882
lolB	ECK1197
lolC	ECK1102
lolD	ECK1103
lolE	ECK1104
lomR	ECK1366
lon	ECK0433
lpcA	ECK0223
lpd	ECK0115
lplA	ECK4378
lplT	ECK2831
lpp	ECK1673
lptA	ECK3189
lptB	ECK3190
lpxA	ECK0180
lpxB	ECK0181
lpxC	ECK0097
lpxD	ECK0178
lpxH	ECK0517
lpxK	ECK0906
lpxL	ECK1039
lrhA	ECK2283
lrp	ECK0880
lspA	ECK0028
lsrA	ECK1506
lsrB	ECK1509
lsrC	ECK1507
lsrD	ECK1508
lsrF	ECK1510
lsrG	ECK1511
lsrK	ECK1504
lsrR	ECK1505
ltaE	ECK0861
lysA	ECK2836
lysC	ECK4016
lysP	ECK2149
lysR	ECK2837
lysS	ECK2885
lysU	ECK4123
lyx	ECK3569
maa	ECK0453
macA	ECK0869
macB	ECK0870
maeA	ECK1473
maeB	ECK2458
mak	ECK0389
malE	ECK4026
malF	ECK4025
malG	ECK4024
malI	ECK1615
malK	ECK4027
malM	ECK4029
malP	ECK3404
malQ	ECK3403
malS	ECK3560
malT	ECK3405
malX	ECK1616
malY	ECK1617
malZ	ECK0397
manA	ECK1608
manX	ECK1815
manY	ECK1816
manZ	ECK1817
maoC	ECK1384
map	ECK0166
marA	ECK1524
marB	ECK1525
marC	ECK1522
marR	ECK1523
matB	ECK0292
mazG	ECK2775
mbhA	ECK0231
mcrA	ECK1145
mcrB	ECK4336
mcrC	ECK4335
mdaB	ECK3019
mdh	ECK3225
mdlA	ECK0442
mdlB	ECK0443
mdoB	ECK4349
mdoC	ECK1033
mdoD	ECK1418
mdoG	ECK1034
mdoH	ECK1035
mdtA	ECK2070
mdtB	ECK2071
mdtC	ECK2072
mdtD	ECK2073
mdtE	ECK3497
mdtF	ECK3498
mdtG	ECK1038
mdtH	ECK1050
mdtI	ECK1594
mdtJ	ECK1595
mdtK	ECK1659
mdtL	ECK3703
mdtN	ECK4075
mdtO	ECK4074
mdtP	ECK4073
melA	ECK4112
melB	ECK4113
melR	ECK4111
menA	ECK3922
menB	ECK2256
menC	ECK2255
menD	ECK2258
menE	ECK2254
menF	ECK2259
mepA	ECK2322
metA	ECK4005
metB	ECK3931
metC	ECK3000
metE	ECK3823
metF	ECK3933
metG	ECK2107
metH	ECK4011
metI	ECK0198
metJ	ECK3930
metK	ECK2937
metL	ECK3932
metN	ECK0199
metQ	ECK0197
metR	ECK3822
mfd	ECK1100
mglA	ECK2142
mglB	ECK2143
mglC	ECK2141
mgsA	ECK0954
mgtA	ECK4237
mhpA	ECK0344
mhpB	ECK0345
